,GRB,B_o,B_o_uncert,epoch_start,epoch_end,A_V,A_V_uncert,host_model,reduced_chi2,probability,time_start,time_end,time_mid,Trigger Number
214,110205A,1.46,0.1,4.6037,4.6187,0.021,0.039,MW,0.83,0.5912206508,40151.33594288293,41562.34088298601,40856.83841293447,444643
215,110205A,0.34,0.31,4.7805,4.7992,0.177,0.046,SMC,0.02,0.9994686946,60325.370792661284,62979.61479295171,61652.4927928065,444643
216,110205A,-0.61,0.5,4.2677,4.284,0.28,0.074,SMC,0.49,0.897199795,18522.51691252972,19230.917289101577,18876.71710081565,444643
217,110205A,-1.66,1.38,4.4041,4.4242,0.427,0.202,SMC,1.76,0.090472677,25357.124326473735,26558.28334546675,25957.703835970242,444643
218,110205A,-1.44,0.98,4.4815,4.4987,0.408,0.143,SMC,1.36,0.197770649,30304.002977883618,31528.259759551893,30916.131368717754,444643
219,110205A,-1.18,0.61,4.4836,4.5015,0.375,0.092,SMC,1.11,0.347860732,30450.89066974223,31732.186638361443,31091.538654051838,444643
220,110205A,-1.18,0.61,4.5627,4.5811,0.396,0.093,SMC,0.98,0.4544159,36534.2334883456,38115.357714484904,37324.79560141525,444643
221,110205A,-1.82,0.47,4.5651,4.5834,0.486,0.07,SMC,0.38,0.943128117,36736.688011030354,38317.75003613844,37527.219023584395,444643
222,110205A,-1.83,1.01,4.5674,4.5856,0.475,0.15,SMC,1.66,0.091850135,36931.75960479867,38512.348242893175,37722.053923845924,444643
223,110205A,-1.83,1.04,4.5697,4.5879,0.476,0.155,SMC,1.78,0.06605826,37127.86702756398,38716.8485818798,37922.35780472189,444643
224,110213A,0.51,0.02,2.9657,2.9741,0.0,0.008,LMC,0.06,0.9781715283,924.0596356376807,942.1064995881911,933.0830676129359,445414
225,110213A,1.18,0.74,3.2753,3.2907,0.0,0.091,LMC,1.76,0.1180374574,1884.9507176986665,1952.9899120756843,1918.9703148871754,445414
226,110213A,0.17,0.05,4.9371,4.9496,0.512,0.019,MW,0.01,0.9998434313,86516.71079308813,89043.04435937422,87779.87757623117,445414
227,110918A,0.63,0.38,5.4566,5.4642,0.6,0.375,MW,1.84,0.05628814494,286154.11789812,291205.78615296975,288679.9520255449,IPN
228,110918A,1.32,1.02,5.9901,5.9921,0.23,0.872,MW,1.56,0.1677302404,977462.2640495892,981974.0248654869,979718.144457538,IPN
229,110918A,0.43,0.16,5.2876,5.2894,0.416,0.151,MW,0.23,0.9862692108,193909.9078614851,194715.26498538986,194312.58642343746,IPN
230,110918A,0.46,0.19,5.3101,5.3118,0.445,0.181,MW,0.41,0.9325234353,204220.81263346373,205021.78012019832,204621.29637683101,IPN
231,110918A,1.04,0.8,5.743,5.743,0.644,0.687,MW,1.44,0.2182792522,553350.1092157371,553350.1092157371,553350.1092157371,IPN
232,111209A,0.84,0.1,4.8066,4.8164,0.18,0.128,MW,0.52,0.9836335713,64061.92726268989,65523.939401598094,64792.93333214399,509336
233,111209A,0.85,0.08,4.8066,4.8193,0.169,0.105,MW,0.46,0.9972172285,64061.92726268989,65962.93937452818,65012.43331860904,509336
234,111209A,0.85,0.07,4.8066,4.8222,0.166,0.088,MW,0.41,0.9997558958,64061.92726268989,66404.88057745733,65233.40392007361,509336
235,111209A,0.86,0.06,4.8066,4.825,0.155,0.078,MW,0.4,0.999945956,64061.92726268989,66834.39175686149,65448.15950977569,509336
236,111209A,0.96,0.03,4.81,4.8278,0.016,0.019,SMC,0.41,0.9999199223,64565.42290346549,67266.6810431099,65916.0519732877,509336
237,111209A,0.97,0.03,4.8129,4.8308,0.016,0.019,SMC,0.38,0.9999765579,64998.000968302505,67732.9514008607,66365.4761845816,509336
238,111209A,0.97,0.03,4.8129,4.8324,0.016,0.019,SMC,0.41,0.9999451694,64998.000968302505,67982.94904549554,66490.47500689903,509336
239,111209A,0.98,0.03,4.8158,4.8335,0.013,0.019,SMC,0.39,0.9999773815,65433.47723737583,68155.35747267042,66794.41735502312,509336
240,111209A,0.97,0.03,4.8188,4.8363,0.014,0.02,SMC,0.47,0.99956094,65887.04043340741,68596.19085293144,67241.61564316943,509336
241,111209A,0.97,0.03,4.8193,4.8363,0.014,0.02,SMC,0.47,0.9992773423,65962.93937452818,68596.19085293144,67279.56511372981,509336
242,111209A,0.97,0.03,4.8217,4.8363,0.013,0.021,SMC,0.5,0.9979795539,66328.47312550216,68596.19085293144,67462.3319892168,509336
243,111209A,0.98,0.03,4.8217,4.8417,0.011,0.02,SMC,0.45,0.9997658158,66328.47312550216,69454.43775834025,67891.4554419212,509336
244,111209A,0.98,0.03,4.8222,4.8417,0.011,0.02,SMC,0.46,0.9994146609,66404.88057745733,69454.43775834025,67929.65916789879,509336
245,111209A,0.98,0.03,4.8245,4.8417,0.012,0.021,SMC,0.48,0.9985259618,66757.49009643056,69454.43775834025,68105.9639273854,509336
246,111209A,0.99,0.03,4.825,4.8465,0.011,0.02,SMC,0.45,0.9994092975,66834.39175686149,70226.33437357638,68530.36306521893,509336
247,111209A,0.99,0.03,4.8274,4.8467,0.009,0.02,SMC,0.45,0.9994413393,67204.75466282961,70258.68224350992,68731.71845316977,509336
248,111209A,0.86,0.05,4.8308,4.8517,0.197,0.067,MW,0.39,0.999772899,67732.9514008607,71072.23944090935,69402.59542088502,509336
249,111209A,0.83,0.05,4.8359,4.8565,0.253,0.06,MW,0.36,0.9998087509,68533.04051260446,71862.1158380457,70197.57817532509,509336
250,111209A,0.8,0.04,4.8415,4.8612,0.295,0.057,MW,0.36,0.9997917192,69422.4601714119,72644.04185924765,71033.25101532978,509336
251,111209A,0.85,0.04,4.8465,4.8659,0.28,0.056,MW,0.38,0.9997130783,70226.33437357638,73434.47595588672,71830.40516473155,509336
252,111209A,0.81,0.07,4.8516,4.8706,0.335,0.087,MW,0.95,0.5475313524,71055.87633694742,74233.51070366164,72644.69352030453,509336
253,111209A,1.15,0.04,4.9002,4.9149,0.038,0.051,MW,1.35,0.09550507237,79469.41206366038,82205.33433757733,80837.37320061885,509336
254,111209A,1.14,0.11,4.9063,4.9149,0.032,0.115,LMC,0.81,0.7158230301,80593.49691127453,82205.33433757733,81399.41562442592,509336
255,111209A,1.06,0.05,5.181,5.1855,0.183,0.039,MW,0.76,0.6382984126,151705.03674593367,153285.12063629364,152495.07869111365,509336
256,111209A,1.03,0.04,5.181,5.1936,0.199,0.036,MW,0.73,0.7585829381,151705.03674593367,156170.85932653738,153937.94803623552,509336
257,111209A,0.97,0.06,5.1855,5.2019,0.25,0.035,MW,0.82,0.6017972525,153285.12063629364,159184.21496485893,156234.66780057628,509336
258,111209A,0.99,0.05,5.1935,5.2057,0.251,0.041,MW,0.95,0.5062833559,156134.9037969651,160583.16006250083,158359.03192973297,509336
259,111209A,1.01,0.07,5.2019,5.2057,0.24,0.053,MW,1.46,0.167094999,159184.21496485893,160583.16006250083,159883.68751367988,509336
260,111209A,1.13,0.06,5.2168,5.2174,0.16,0.04,MW,0.47,0.8810623173,164740.35594357533,164968.11044727283,164854.23319542408,509336
261,111209A,1.01,0.35,5.3416,5.3546,0.11,0.06,SMC,0.01,0.9999210591,219583.6500973188,226255.94533618557,222919.7977167522,509336
262,111209A,1.0,0.22,5.3688,5.3808,0.18,0.191,SMC,1.39,0.1943264356,233776.04122746896,240325.58049332426,237050.8108603966,509336
263,111209A,1.18,0.31,5.3807,5.3896,0.0,0.31,LMC,1.52,0.1458520774,240270.24985383323,245244.90860720183,242757.57923051753,509336
264,111209A,1.02,0.11,5.3807,5.3997,0.162,0.063,SMC,1.18,0.296614048,240270.24985383323,251015.18809953314,245642.7189766832,509336
265,111209A,1.05,0.07,5.3896,5.4007,0.135,0.035,SMC,0.48,0.9168131418,245244.90860720183,251593.837869271,248419.3732382364,509336
266,111209A,1.05,0.05,5.3942,5.4007,0.141,0.028,SMC,0.3,0.9814149906,247856.3215394193,251593.837869271,249725.07970434515,509336
267,111209A,1.0,0.13,5.5164,5.5223,0.203,0.113,SMC,0.6,0.7990233529,328397.6192504799,332889.4257585377,330643.52250450884,509336
268,111209A,1.15,0.25,5.6195,5.6196,0.0,0.002,LMC,0.7,0.6711095942,416389.72102516424,416485.60934074153,416437.6651829529,509336
269,111209A,1.09,0.2,5.7701,5.7702,0.079,0.177,SMC,0.25,0.9728019979,588979.2572290254,589114.8903295414,589047.0737792833,509336
270,111209A,0.87,0.05,5.8256,5.8259,0.411,0.046,MW,0.12,0.9986326223,669267.9069358421,669730.3805418961,669499.1437388691,509336
271,111209A,0.86,0.09,5.9265,5.9314,0.395,0.11,MW,0.56,0.8150194657,844306.241909012,853886.2102148432,849096.2260619276,509336
272,111209A,0.82,0.08,5.9265,5.9408,0.46,0.078,MW,0.53,0.8536864007,844306.241909012,872569.4427701168,858437.8423395643,509336
273,111209A,0.73,0.49,6.0426,6.0426,0.614,0.669,MW,1.69,0.1196464767,1103062.1940666502,1103062.1940666502,1103062.1940666502,509336
274,111209A,0.44,0.29,6.3808,6.3809,0.766,0.298,LMC,0.11,0.8533759079,2403255.8049332425,2403809.238746328,2403532.5218397854,509336
275,111209A,1.21,0.8,6.49,6.3809,0.799,1.238,MW,1.32,0.2600456922,3090295.432513592,2403809.238746328,2747052.3356299596,509336
276,111209A,1.29,0.9,6.63,6.3809,0.667,1.399,MW,0.4,0.8103514818,4265795.188015926,2403809.238746328,3334802.2133811265,509336
277,111228A,1.57,0.55,6.888,6.3809,1.681,0.793,MW,0.18,0.9501487507,7726805.850957021,2403809.238746328,5065307.544851675,510649
278,111228A,0.52,0.08,4.7772,4.7932,0.259,0.07,SMC,0.78,0.7605822445,59868.72372480592,62115.50208324415,60992.11290402504,510649
279,111228A,0.56,0.08,4.7772,4.7963,0.232,0.069,SMC,0.81,0.7339922684,59868.72372480592,62560.46959640018,61214.59666060305,510649
280,111228A,0.57,0.08,4.7829,4.7986,0.203,0.08,SMC,0.56,0.9522959304,60659.66394687527,62892.66531604166,61776.164631458465,510649
281,111228A,0.45,0.17,5.167,5.1672,0.404,0.144,SMC,0.19,0.9918472074,146892.62776438662,146960.28989796518,146926.4588311759,510649
282,111228A,0.78,0.05,4.7152,4.7303,0.145,0.061,MW,1.14,0.3005876049,51903.90101970826,53740.289295034985,52822.09515737162,510649
283,120119A,3.14,0.38,2.7413,2.752,0.113,0.034,SMC,0.22,0.9257768285,551.1883123276054,564.9369748123022,558.0626435699538,512035
284,120119A,2.71,0.08,3.6192,3.621,0.101,0.012,SMC,0.01,0.9996256893,4161.021885174549,4178.303666466218,4169.662775820383,512035
285,120119A,3.39,0.24,3.7945,3.8128,0.032,0.079,LMC,0.73,0.5500122011,6230.171474290644,6498.303634842379,6364.237554566512,512035
286,120327A,1.81,0.15,3.058,3.0759,0.034,0.074,LMC,1.73,0.1027850807,1142.8783347897713,1190.9677459951863,1166.923040392479,518731
287,120327A,1.9,0.14,3.3389,3.3493,0.046,0.044,LMC,0.35,0.7441861464,2182.2273775659155,2235.115652882337,2208.6715152241263,518731
288,120327A,1.83,0.18,3.3389,3.3562,0.012,0.063,LMC,1.16,0.2621603581,2182.2273775659155,2270.9104040068282,2226.568890786372,518731
289,120327A,2.09,0.02,3.3493,3.3562,0.055,0.005,MW,0.03,0.9994271809,2235.115652882337,2270.9104040068282,2253.0130284445827,518731
290,120327A,1.66,0.08,3.4201,3.4257,0.193,0.02,LMC,0.11,0.9537428654,2630.873703214671,2665.0170999467637,2647.9454015807173,518731
291,120327A,0.97,0.42,3.4255,3.435,0.126,0.043,SMC,0.48,0.7473132434,2663.7900967669893,2722.701308077913,2693.2457024224514,518731
292,120327A,0.77,0.13,3.6645,3.6741,0.035,0.019,SMC,1.11,0.350154306,4618.489918952487,4721.717503108786,4670.103711030637,518731
293,120327A,1.03,0.76,4.1451,4.1625,0.143,0.088,SMC,1.88,0.0677662196,13966.899237730431,14537.843856076606,14252.37154690352,518731
294,120327A,1.06,0.29,4.1558,4.1625,0.155,0.034,SMC,0.27,0.9491921896,14315.28504215074,14537.843856076606,14426.564449113674,518731
295,120327A,2.04,0.16,4.2287,4.2296,0.222,0.054,LMC,0.48,0.6745556765,16931.677975100087,16966.80232346462,16949.240149282356,518731
296,120404A,2.59,0.62,3.9404,3.9585,0.618,0.184,MW,1.54,0.1724767169,8717.661466018493,9088.662990655877,8903.162228337185,519380
297,120404A,2.43,0.73,3.949,3.9607,0.487,0.227,MW,2.16,0.05567189963,8892.011178579482,9134.820124571928,9013.415651575706,519380
298,120404A,2.39,0.59,3.949,3.9647,0.506,0.178,MW,1.49,0.1780534759,8892.011178579482,9219.343574515597,9055.67737654754,519380
299,120404A,1.32,0.13,4.845,3.9647,0.071,0.062,MW,1.59,0.1463908755,69984.19960022731,9219.343574515597,39601.771587371455,519380
300,120404A,-1.33,0.32,3.6117,3.629,0.287,0.06,LMC,0.61,0.311735631,4089.7805010288275,4255.984131337431,4172.88231618313,519380
301,120404A,-1.48,0.8,4.1451,4.1604,0.325,0.254,LMC,1.62,0.11807007,13966.899237730431,14467.716832477228,14217.30803510383,519380
302,120404A,-1.49,0.78,4.1512,4.1676,0.313,0.26,LMC,1.73,0.105347754,14164.459272385144,14709.570767969777,14437.01502017746,519380
303,120711A,0.89,0.18,4.3522,4.3725,0.234,0.094,LMC,1.35,0.05816578099,22500.90572279306,23577.621959612523,23039.26384120279,INTEGRAL
304,120711A,1.71,0.35,5.0348,5.0499,0.148,0.19,MW,0.53,0.9436851187,108342.78621501384,112176.01297471244,110259.39959486315,INTEGRAL
305,120711A,0.77,0.2,4.3604,4.3788,0.549,0.109,MW,0.98,0.4797535418,22929.78591824823,23922.138475120555,23425.96219668439,INTEGRAL
306,120711A,1.61,0.36,5.0422,5.0597,0.183,0.189,MW,0.77,0.7490018213,110204.67039630309,114736.07789425296,112470.37414527802,INTEGRAL
307,120711A,1.66,0.43,5.0494,5.0597,0.154,0.218,MW,0.76,0.6995205662,112046.93988178081,114736.07789425296,113391.50888801689,INTEGRAL
308,120711A,0.97,0.18,4.3619,4.3788,0.222,0.102,LMC,0.85,0.4579580127,23009.119518517622,23922.138475120555,23465.62899681909,INTEGRAL
309,120711A,0.88,0.21,4.369,4.3865,0.504,0.117,MW,1.13,0.3061396425,23388.372386593535,24350.057999520235,23869.215193056887,INTEGRAL
310,120711A,1.3,0.08,4.4004,4.4163,0.201,0.032,SMC,0.58,0.9335442603,25142.010301590228,26079.54439026601,25610.77734592812,INTEGRAL
311,120711A,1.29,0.08,4.4077,4.4234,0.127,0.042,LMC,0.28,0.9821760236,25568.19088689687,26509.40621093076,26038.798548913815,INTEGRAL
312,120711A,1.37,0.07,4.415,4.4304,0.106,0.034,LMC,0.19,0.9971834337,26001.595631652723,26940.149410636666,26470.872521144694,INTEGRAL
313,120711A,1.02,0.21,4.4221,4.438,0.424,0.11,MW,1.27,0.1696743717,26430.17264477656,27415.74171927881,26922.957182027683,INTEGRAL
314,120711A,1.33,0.12,4.4293,4.444,0.187,0.047,SMC,1.48,0.06164418931,26872.000567171104,27797.132677592883,27334.566622381994,INTEGRAL
315,120711A,0.71,0.21,4.4365,4.4507,0.582,0.109,MW,1.28,0.1627931667,27321.214438784842,28229.29290779787,27775.253673291358,INTEGRAL
316,120711A,1.27,0.07,4.443,4.457,0.231,0.03,SMC,0.34,0.9942272127,27733.20104651838,28641.7796990658,28187.49037279209,INTEGRAL
317,120711A,0.63,0.16,4.4495,4.463,0.62,0.09,MW,0.3,0.9927973162,28151.400151332975,29040.226544644513,28595.813347988744,INTEGRAL
318,120711A,1.82,0.42,5.0348,5.0427,0.11,0.233,MW,0.41,0.968427092,108342.78621501384,110331.62127669812,109337.20374585598,INTEGRAL
319,120815A,0.31,0.17,3.6794,3.6807,0.223,0.033,SMC,1.45,0.1792045344,4779.692969796099,4794.021749415102,4786.8573596056,531003
320,120815A,0.18,0.18,3.7182,3.7193,0.251,0.032,SMC,1.02,0.4160930213,5226.368167369365,5239.622519059377,5232.995343214371,531003
321,120815A,0.24,0.18,3.7537,3.7548,0.236,0.035,SMC,1.4,0.1982577407,5671.526948608318,5685.910246988551,5678.7185977984345,531003
322,120815A,0.31,0.2,3.8356,3.8474,0.221,0.043,SMC,1.65,0.1166941053,6848.571591258556,7037.20171722057,6942.886654239563,531003
323,120815A,0.48,0.39,3.869,3.8733,0.198,0.062,SMC,1.55,0.1697171175,7396.052750582382,7469.645650780071,7432.849200681227,531003
324,120815A,0.41,0.17,3.0517,3.0622,0.203,0.035,SMC,1.93,0.06024202548,1126.4190846286342,1153.984565005087,1140.2018248168606,531003
325,120815A,0.3,0.14,3.1184,3.1274,0.218,0.029,SMC,1.29,0.2525185222,1313.4090365327331,1340.911143654731,1327.160090093732,531003
326,120815A,0.45,0.16,3.9109,3.9211,0.195,0.036,SMC,1.11,0.3507045752,8145.1671302261875,8338.731689085957,8241.949409656072,531003
327,120815A,0.45,0.16,3.9109,3.9211,0.195,0.036,SMC,1.11,0.3507045752,8145.1671302261875,8338.731689085957,8241.949409656072,531003
328,120815A,0.25,0.15,3.1785,3.1867,0.226,0.031,SMC,1.49,0.1654760335,1508.3426105404806,1537.0924876161678,1522.7175490783243,531003
329,120815A,0.18,0.13,3.2293,3.2363,0.24,0.025,SMC,1.0,0.4278612837,1695.5086118732536,1723.0584105672021,1709.2835112202279,531003
330,120815A,0.46,0.15,3.2768,3.2831,0.197,0.031,SMC,1.48,0.1699070429,1891.4723628330155,1919.1105813411912,1905.2914720871033,531003
331,120815A,0.27,0.14,3.319,3.3249,0.227,0.029,SMC,1.32,0.2369165032,2084.4908830972886,2113.002447024131,2098.74666506071,531003
332,120815A,0.29,0.16,3.4038,3.4063,0.223,0.033,SMC,1.71,0.1009002108,2533.9614293978393,2548.590148373727,2541.275788885783,531003
333,120815A,0.21,0.13,3.4693,3.4763,0.236,0.027,SMC,1.13,0.3387067487,2946.4562708650446,2994.3323338672667,2970.394302366156,531003
334,120815A,0.58,0.2,4.0391,4.0462,0.189,0.047,SMC,1.59,0.1337790342,10942.08288036683,11122.438165659853,11032.260523013341,531003
335,120815A,0.58,0.18,4.0391,4.0558,0.189,0.042,SMC,1.27,0.2529741394,10942.08288036683,11371.035097106495,11156.558988736662,531003
336,120815A,0.27,0.12,3.5355,3.5373,0.233,0.025,SMC,0.92,0.4914035142,3431.6263979646833,3445.8788144433506,3438.752606204017,531003
337,120815A,0.18,0.16,3.5891,3.5905,0.244,0.031,SMC,1.33,0.2326099446,3882.397512057637,3894.933077036545,3888.665294547091,531003
338,120815A,0.26,0.17,3.6373,3.6387,0.229,0.034,SMC,1.59,0.1331868884,4338.104405465892,4352.111366239774,4345.107885852833,531003
339,120815A,-0.62,0.44,22707.0,3.6387,0.357,0.065,SMC,0.78,0.535269984,inf,4352.111366239774,inf,531003
340,120815A,-0.73,0.48,24631.0,3.6387,0.373,0.072,SMC,0.94,0.440327995,inf,4352.111366239774,inf,531003
341,120815A,-0.55,0.35,25938.0,3.6387,0.344,0.051,SMC,0.48,0.747025781,inf,4352.111366239774,inf,531003
342,120815A,-0.61,0.33,26985.0,3.6387,0.346,0.048,SMC,0.48,0.748384217,inf,4352.111366239774,inf,531003
343,120815A,-0.63,0.38,29738.0,3.6387,0.345,0.055,SMC,0.64,0.634754519,inf,4352.111366239774,inf,531003
344,121024A,0.66,0.31,4.945,3.6387,0.119,0.073,SMC,0.43,0.8824921473,88104.88730080146,4352.111366239774,46228.499333520616,536580
345,121024A,0.47,0.27,5.029,3.6387,0.21,0.052,SMC,0.41,0.8992342879,106905.48792226578,4352.111366239774,55628.79964425277,536580
346,121027A,1.86,0.19,5.248,3.6387,0.0,0.026,MW,1.23,0.2809165089,177010.8958317422,4352.111366239774,90681.503598991,536831
347,121128A,3.89,1.43,3.3328,3.3498,0.0,0.098,SMC,0.04,0.9969781099,2151.790570339755,2237.690406737124,2194.7404885384394,539866
348,121201A,-1.33,0.96,46586.0,3.3498,0.311,0.093,SMC,0.93,0.444765384,inf,2237.690406737124,inf,540178
349,121217A,0.98,0.01,3.616,3.3498,0.145,0.001,MW,0.0,0.9999836699,4130.475019901614,2237.690406737124,3184.082713319369,542441
350,121217A,0.98,0.01,3.337,3.3498,0.15,0.003,MW,0.02,0.9992366985,2172.7011788637456,2237.690406737124,2205.195792800435,542441
351,121217A,-0.75,0.29,3.5725,3.5748,0.16,0.029,SMC,1.89,0.109938932,3736.801253821156,3756.64364614459,3746.722449982873,542441
352,121217A,-0.91,0.08,35955.0,3.5748,0.177,0.007,SMC,0.07,0.991856939,inf,3756.64364614459,inf,542441
353,121217A,-0.96,0.26,36549.0,3.5748,0.18,0.029,SMC,0.84,0.497126675,inf,3756.64364614459,inf,542441
354,121217A,-0.48,0.16,30492.0,3.5748,0.132,0.015,SMC,0.26,0.901618184,inf,3756.64364614459,inf,542441
355,121217A,-0.48,0.16,30492.0,3.5748,0.132,0.015,SMC,0.26,0.901618184,inf,3756.64364614459,inf,542441
356,121217A,-0.48,0.16,30492.0,3.5748,0.132,0.015,SMC,0.26,0.901618184,inf,3756.64364614459,inf,542441
357,121217A,-1.03,0.14,31605.0,3.5748,0.208,0.014,SMC,0.13,0.972761914,inf,3756.64364614459,inf,542441
358,121217A,-1.03,0.14,31605.0,3.5748,0.208,0.014,SMC,0.13,0.972761914,inf,3756.64364614459,inf,542441
359,121217A,-1.03,0.14,31605.0,3.5748,0.208,0.014,SMC,0.13,0.972761914,inf,3756.64364614459,inf,542441
360,121217A,-0.54,0.18,32019.0,3.5748,0.144,0.017,SMC,0.57,0.681639459,inf,3756.64364614459,inf,542441
361,121217A,-0.54,0.18,32019.0,3.5748,0.144,0.017,SMC,0.57,0.681639459,inf,3756.64364614459,inf,542441
362,121217A,-0.54,0.18,32019.0,3.5748,0.144,0.017,SMC,0.57,0.681639459,inf,3756.64364614459,inf,542441
363,121217A,-0.71,0.02,48735.0,3.5748,0.222,0.004,LMC,0.0,0.999565591,inf,3756.64364614459,inf,542441
364,121217A,-0.54,0.18,32019.0,3.5748,0.144,0.017,SMC,0.57,0.681639459,inf,3756.64364614459,inf,542441
365,121217A,-0.54,0.18,32019.0,3.5748,0.144,0.017,SMC,0.57,0.681639459,inf,3756.64364614459,inf,542441
366,121217A,-0.78,0.22,32521.0,3.5748,0.177,0.022,SMC,1.97,0.09532278,inf,3756.64364614459,inf,542441
367,121217A,-0.54,0.04,32969.0,3.5748,0.144,0.003,SMC,0.04,0.997017179,inf,3756.64364614459,inf,542441
368,121217A,-0.59,0.13,33755.0,3.5748,0.154,0.013,SMC,0.37,0.831049761,inf,3756.64364614459,inf,542441
369,121217A,-0.75,0.04,34096.0,3.5748,0.164,0.004,SMC,0.04,0.997574474,inf,3756.64364614459,inf,542441
370,121217A,-0.59,0.18,34409.0,3.5748,0.154,0.017,SMC,0.79,0.529215661,inf,3756.64364614459,inf,542441
371,121217A,-0.63,0.05,34703.0,3.5748,0.147,0.005,SMC,0.06,0.992811517,inf,3756.64364614459,inf,542441
372,121217A,-0.84,0.01,34989.0,3.5748,0.173,0.0,SMC,0.0,0.999999124,inf,3756.64364614459,inf,542441
373,121217A,-0.53,0.18,35245.0,3.5748,0.141,0.017,SMC,0.86,0.487344052,inf,3756.64364614459,inf,542441
374,130418A,1.11,0.1,4.358,3.5748,0.0,0.01,SMC,1.19,0.3056619694,22803.420720004164,3756.64364614459,13280.032183074378,553847
375,130418A,1.21,0.18,4.5205,4.537,0.0,0.121,LMC,1.26,0.09110168354,33151.25698118432,34434.99307633384,33793.12502875908,553847
376,130418A,1.2,0.19,4.5218,4.537,0.0,0.129,LMC,1.29,0.07527294336,33250.639317744,34434.99307633384,33842.81619703892,553847
377,130418A,1.22,0.13,4.5231,4.537,0.0,0.055,SMC,1.2,0.1632560668,33350.319587164195,34434.99307633384,33892.65633174902,553847
378,130418A,1.22,0.2,4.5243,4.537,0.0,0.137,LMC,1.27,0.1100603882,33442.597353373436,34434.99307633384,33938.79521485364,553847
379,130418A,1.14,0.21,4.5257,4.537,0.0,0.147,LMC,1.27,0.1152366315,33550.57749988974,34434.99307633384,33992.78528811179,553847
380,130418A,1.06,0.24,4.5269,4.537,0.0,0.163,LMC,1.34,0.077546618,33643.40936432302,34434.99307633384,34039.20122032843,553847
381,130418A,1.39,0.18,4.5828,4.6022,0.0,0.096,MW,1.26,0.08162379538,38264.84865951093,40012.897354069864,39138.873006790396,553847
382,130418A,1.4,0.25,4.5828,4.6022,0.0,1.472,LMC,1.26,0.08696505017,38264.84865951093,40012.897354069864,39138.873006790396,553847
383,130418A,1.38,0.19,4.5838,4.6022,0.011,0.144,MW,1.26,0.08705468647,38353.058245685934,40012.897354069864,39182.9777998779,553847
384,130418A,1.39,0.18,4.5839,4.6022,0.022,0.141,MW,1.14,0.2190747995,38361.890380502715,40012.897354069864,39187.393867286286,553847
385,130418A,1.38,0.19,4.5849,4.6022,0.047,0.142,MW,1.12,0.25230458,38450.32367094809,40012.897354069864,39231.61051250898,553847
386,130418A,1.46,0.19,4.5862,4.6022,0.001,0.147,MW,1.1,0.2913721583,38565.59178913931,40012.897354069864,39289.24457160459,553847
387,130418A,1.38,0.2,4.5873,4.6022,0.071,0.153,MW,1.09,0.3096389894,38663.39621093609,40012.897354069864,39338.146782502976,553847
388,130418A,1.39,0.22,4.5883,4.6022,0.055,0.164,MW,1.13,0.2600873987,38752.52454410249,40012.897354069864,39382.71094908618,553847
389,130418A,1.32,0.21,4.5894,4.6022,0.033,0.162,MW,0.98,0.4964664711,38850.80303745284,40012.897354069864,39431.85019576135,553847
390,130418A,1.3,0.22,4.5904,4.6022,0.014,0.162,MW,0.87,0.6941040023,38940.36338797171,40012.897354069864,39476.63037102079,553847
391,130418A,1.31,0.34,4.5916,4.6022,0.0,0.011,LMC,0.88,0.6597565851,39048.10837492533,40012.897354069864,39530.5028644976,553847
392,130418A,1.09,0.39,4.6171,4.6272,0.173,0.281,MW,0.94,0.544608661,41409.50127434675,42383.810577435026,41896.65592589089,553847
393,130418A,1.12,0.39,4.6171,4.6282,0.16,0.278,MW,0.96,0.5170296247,41409.50127434675,42481.51535146456,41945.50831290566,553847
394,130418A,1.16,0.4,4.6171,4.6292,0.139,0.287,MW,1.08,0.3593430051,41409.50127434675,42579.44535825967,41994.47331630321,553847
395,130418A,1.23,0.41,4.6171,4.6301,0.083,0.287,MW,1.1,0.3205575615,41409.50127434675,42667.775367496295,42038.63832092153,553847
396,130418A,1.3,0.39,4.6171,4.6314,0.027,0.274,MW,1.06,0.3828292328,41409.50127434675,42795.68675300529,42102.59401367602,553847
397,130418A,1.27,0.39,4.6171,4.6333,0.062,0.276,MW,1.08,0.3502403274,41409.50127434675,42983.32425215653,42196.41276325165,553847
398,130418A,1.38,0.46,4.6171,4.6346,0.0,0.288,LMC,1.13,0.2819573332,41409.50127434675,43112.181604374164,42260.84143936046,553847
399,130418A,1.3,0.47,4.6171,4.6357,0.017,0.294,LMC,1.22,0.1667448336,41409.50127434675,43221.516423278736,42315.508848812744,553847
400,130418A,1.33,0.49,4.6171,4.6366,0.006,0.306,LMC,1.36,0.06874325316,41409.50127434675,43311.17839310401,42360.33983372538,553847
401,130418A,1.12,0.54,4.6189,4.6398,0.06,0.328,LMC,1.38,0.05847912389,41581.485456158014,43631.48555506765,42606.48550561283,553847
402,130418A,1.26,0.52,4.6199,4.6398,0.008,0.319,LMC,1.22,0.1802599782,41677.340679767214,43631.48555506765,42654.41311741743,553847
403,130418A,1.5,0.46,4.6208,4.6418,0.0,0.373,MW,1.32,0.1084357379,41763.799295097386,43832.87934192464,42798.33931851102,553847
404,130420A,0.64,0.55,4.9357,4.9433,0.527,0.394,MW,1.45,0.1795135456,86238.26291517654,87760.68411366193,86999.47351441924,553977
