,GRB,B_o,B_o_uncert,epoch_start,epoch_end,A_V,A_V_uncert,host_model,reduced_chi2,probability,time_start,time_end,time_mid,Trigger Number
734,170705A,0.58,0.2,4.0667,4.0877,0.152,0.053,SMC,0.93,0.540977013,11660.03891851448,12237.705564718282,11948.87224161638,760064
735,170705A,0.57,0.23,4.071,4.0877,0.158,0.06,SMC,1.05,0.4024464004,11776.059735208066,12237.705564718282,12006.882649963174,760064
736,170705A,0.7,0.29,4.0748,4.0877,0.107,0.076,SMC,1.15,0.3109853332,11879.550279416511,12237.705564718282,12058.627922067397,760064
737,170705A,0.73,0.26,4.0774,4.0877,0.094,0.071,SMC,0.98,0.465341786,11950.88314736272,12237.705564718282,12094.2943560405,760064
738,171010A,1.04,0.3,5.4777,5.4778,0.216,0.729,MW,1.96,0.09720773669,300400.0495724225,300469.2272040945,300434.6383882585,Fermi
739,171010A,0.4,0.01,6.342,5.4778,1.461,0.014,SMC,0.0,0.9999995538,2197859.872784823,300469.2272040945,1249164.549994459,Fermi
740,171205A,0.39,0.23,3.113,5.4778,0.0,15.893,SMC,0.97,0.4452194105,1297.1792709839558,300469.2272040945,150883.20323753924,794972
741,171205A,2.23,0.07,4.886,4.901,2.14,0.82,SMC,0.09,0.9848153766,76913.04402866098,79615.93504173183,78264.48953519641,794972
742,171205A,2.06,0.33,4.893,4.91,3.694,3.754,SMC,2.28,0.05852471071,78162.78045883293,81283.05161640995,79722.91603762144,794972
743,180205A,0.64,0.07,4.884,4.91,0.042,0.019,SMC,0.15,0.988653293,76559.6606911257,81283.05161640995,78921.35615376782,808625
744,180325A,1.13,0.08,4.988,4.91,0.147,0.027,MW,0.04,0.9972468341,97274.72237769661,81283.05161640995,89278.88699705328,817564
745,180418A,-0.58,0.14,3.5745,3.5857,0.105,0.068,MW,1.06,0.386474422,3754.0495447208405,3852.1217059810283,3803.0856253509346,826428
746,180510B,1.47,0.39,4.048,3.5857,0.0,0.087,MW,1.87,0.07071773765,11168.632477805611,3852.1217059810283,7510.37709189332,831816
747,180620B,0.97,0.31,4.688,3.5857,0.207,0.161,SMC,0.87,0.5315499389,48752.8490103386,3852.1217059810283,26302.485358159814,843211
748,180914B,1.2,0.15,5.2688,5.287,0.042,0.055,LMC,0.11,0.9900169194,185694.91014904605,193642.19639466068,189668.55327185337,AGILE
749,180914B,1.25,0.02,5.2765,5.287,0.013,0.004,MW,0.0,0.9999882618,189016.62311869016,193642.19639466068,191329.40975667542,AGILE
750,190114C,0.69,0.42,6.3709,6.3722,0.976,0.385,SMC,0.6,0.7296045414,2349091.8601803654,2356134.07393385,2352612.967057108,883832
751,200524A,0.88,0.23,4.7767,4.7848,0.0,0.095,MW,0.83,0.564195468,59799.83697142513,60925.625974965566,60362.73147319535,Fermi
752,200829A,0.16,0.03,4.3789,4.3943,0.171,0.054,MW,0.16,0.9564869659,23927.647385277458,24791.339913758693,24359.493649518074,993768
753,201015A,0.63,0.22,2.3385,2.3447,0.295,0.199,SMC,0.14,0.9828234743,218.02183971859444,221.15664858298825,219.58924415079133,1000452
754,201015A,0.4,0.4,2.3929,2.4042,0.071,0.368,SMC,0.47,0.8325866571,247.11550750182187,253.62963692377323,250.37257221279754,1000452
755,201015A,0.41,0.34,2.3929,2.4093,0.06,0.311,SMC,0.35,0.9293121101,247.11550750182187,256.6256131321225,251.8705603169722,1000452
756,201015A,0.4,0.35,2.3936,2.4093,0.076,0.321,SMC,0.37,0.8959106603,247.5141318074314,256.6256131321225,252.06987246977695,1000452
757,201015A,1.45,0.46,2.5577,2.574,0.0,3.644,MW,0.47,0.8792343051,361.1602957582318,374.97300224548337,368.0666490018576,1000452
758,201015A,0.49,0.43,3.0031,3.012,0.0,0.603,SMC,0.26,0.9334358356,1007.1635501321346,1028.0162981264734,1017.589924129304,1000452
759,201015A,0.8,0.42,4.8592,4.8732,0.0,0.398,MW,1.21,0.3009672433,72310.27280500624,74679.25899308828,73494.76589904726,1000452
760,201015A,0.9,0.5,4.8634,4.8732,0.178,1.407,MW,1.69,0.1497118233,73012.96749459663,74679.25899308828,73846.11324384245,1000452
761,201015A,-0.3,0.27,2.5092,2.5174,1.328,0.261,SMC,0.15,0.97955411,322.9981240595625,329.15465394706763,326.07638900331506,1000452
762,201015A,-1.41,0.42,3.4639,3.4666,1.868,0.522,SMC,0.21,0.959356322,2910.046977837714,2928.195035574271,2919.121006705993,1000452
763,210104A,2.14,0.06,3.9526,3.9692,0.308,0.048,MW,0.13,0.9864430276,8966.026125642984,9315.367652385738,9140.696889014362,1015873
764,210104A,2.18,0.01,3.9565,3.9692,0.275,0.01,MW,0.0,0.9999663803,9046.904377381195,9315.367652385738,9181.136014883466,1015873
765,210104A,2.91,0.39,4.0333,4.051,0.756,0.237,MW,1.83,0.08838988295,10796.922897016853,11246.049739669268,11021.48631834306,1015873
766,210104A,2.93,0.21,4.0414,4.0566,0.566,0.143,MW,0.49,0.7802868809,11000.185275062217,11392.000621865256,11196.092948463736,1015873
767,210104A,2.85,0.15,4.0414,4.0604,0.49,0.108,MW,0.41,0.8954186293,11000.185275062217,11492.115972032396,11246.150623547306,1015873
768,210204A,1.99,0.26,5.3099,5.3237,0.133,0.16,SMC,1.41,0.1214049513,204126.78712552876,210717.20641819783,207421.9967718633,Fermi
769,210204A,2.1,0.14,5.3099,5.325,0.084,0.047,MW,1.35,0.137170852,204126.78712552876,211348.90398366476,207737.84555459674,Fermi
770,210204A,2.1,0.14,5.3099,5.3252,0.085,0.046,MW,1.32,0.1487358107,204126.78712552876,211446.25616525894,207786.52164539386,Fermi
771,210204A,1.87,0.26,5.3107,5.3252,0.172,0.119,LMC,1.04,0.4084243339,204503.14909898632,211446.25616525894,207974.70263212261,Fermi
772,210204A,2.11,0.28,5.3136,5.3334,0.061,0.127,LMC,1.05,0.3901406514,205873.28767335266,215476.54333634637,210674.91550484952,Fermi
773,210204A,2.21,0.28,5.3136,5.3341,0.009,0.13,LMC,1.15,0.285929173,205873.28767335266,215824.1305368864,210848.70910511952,Fermi
774,210204A,2.27,0.26,5.3136,5.3348,0.011,0.121,LMC,1.11,0.3327075142,205873.28767335266,216172.2784335473,211022.78305345,Fermi
775,210204A,2.35,0.11,5.3144,5.3355,0.0,0.003,MW,0.95,0.5230771842,206252.8697846573,216520.98793079265,211386.92885772497,Fermi
776,210204A,2.38,0.44,5.323,5.3383,0.0,1.016,SMC,1.48,0.1097555157,210377.84397664774,217921.46006602122,214149.65202133448,Fermi
777,210204A,2.39,0.46,5.3237,5.3383,0.0,0.271,SMC,1.52,0.1004074086,210717.20641819783,217921.46006602122,214319.3332421095,Fermi
778,210204A,2.4,0.48,5.3243,5.3383,0.0,0.232,SMC,1.65,0.07072163723,211008.52418604834,217921.46006602122,214464.99212603478,Fermi
779,210420B,0.32,0.1,4.308,5.3383,0.154,0.114,MW,2.24,0.06256551647,20323.57010936221,217921.46006602122,119122.51508769172,1044382
780,210610B,0.65,0.26,4.9861,4.9884,0.004,0.08,SMC,1.63,0.1470543435,96850.08361475433,97364.35697988872,97107.22029732153,1054681
781,210610B,-1.57,0.76,4.1563,4.1722,0.831,0.2,SMC,1.75,0.08180956,14331.775614035501,14866.200985286006,14598.988299660754,1054681
782,210610B,-0.79,0.19,5.1142,5.1321,0.432,0.059,MW,0.77,0.590604698,130076.84661395384,135550.14921730818,132813.49791563101,1054681
783,210610B,-1.97,0.99,5.2492,5.268,0.719,0.335,SMC,0.98,0.43087597,177500.67135006547,185353.16234148105,181426.91684577326,1054681
784,210610B,-1.98,1.6,5.2577,5.268,0.703,0.502,SMC,1.78,0.129943289,181008.92952707558,185353.16234148105,183181.0459342783,1054681
785,210619B,1.58,0.12,4.1263,4.1414,0.562,0.049,LMC,1.13,0.1471417012,13375.191229856062,13848.412777219824,13611.802003537943,1056757
786,210905A,-0.85,0.43,3.9629,3.9763,0.815,0.081,MW,0.45,0.815911147,9181.211669315342,9468.910246508303,9325.060957911823,1071993
787,221009A,0.39,0.07,5.58,5.585,1.003,0.314,SMC,1.17,0.321,380189.39632056124,384591.78204535355,382390.5891829574,1126853
